DRM_ID,psu_id,lat_degrees,lon_degrees,mpa_nr,subregion_nr,habitat_cd,psu_depth,prot,depth_class,rugosity_class,strat,Priority,Status,mapgrid_nr,zone_nr,region,priority_level,strat_nr,survey_type
2637,2529,24.687438,-82.793192,26,4,CONT_LR,3.3,2,D1,R2,DT01,Secondary,Not surveyed,624868,4,DRY TORT,2,9,Fish
2638,2808,24.693131,-82.844129,26,4,ISOL_LR,5.7,2,D1,R2,DT01,Secondary,Not surveyed,634581,4,DRY TORT,NA,NA,NA
2639,2809,24.694517,-82.840676,26,4,ISOL_MR,3.8,2,D1,R3,DT02,Secondary,Not surveyed,636698,4,DRY TORT,NA,NA,NA
2640,2810,24.698893,-82.883728,26,4,CONT_LR,11.1,2,D1,R3,DT02,Secondary,Not surveyed,644333,4,DRY TORT,NA,NA,NA
2641,2811,24.701561,-82.82144,26,4,CONT_LR,3.3,2,D1,R3,DT02,Secondary,Not surveyed,647271,4,DRY TORT,NA,NA,NA
2642,2812,24.705364,-82.880839,26,4,CONT_MR,12.1,2,D2,R2,DT04,Secondary,Not surveyed,654099,4,DRY TORT,NA,NA,NA
2643,2540,24.705575,-82.786534,26,4,CONT_LR,9.6,2,D1,R3,DT02,Secondary,Not surveyed,652906,4,DRY TORT,2,10,Fish
2644,2532,24.709525,-82.795979,26,4,CONT_LR,8.2,2,D1,R2,DT01,Secondary,Not surveyed,659073,4,DRY TORT,2,9,Fish
2645,2548,24.712285,-82.865699,26,4,CONT_LR,11,2,D1,R3,DT02,Secondary,Not surveyed,664356,4,DRY TORT,2,10,Fish
2646,2585,24.715408,-82.86871,26,4,CONT_LR,14.4,2,D2,R2,DT04,Secondary,Not surveyed,669032,4,DRY TORT,2,14,Fish
2647,2813,24.715618,-82.814846,26,4,SPGR_LR,8.4,2,D1,R3,DT02,Secondary,Not surveyed,668475,4,DRY TORT,NA,NA,NA
2648,2546,24.717598,-82.837609,26,4,CONT_LR,11.5,2,D1,R3,DT02,Secondary,Not surveyed,671735,4,DRY TORT,2,10,Fish
2649,2814,24.717745,-82.860814,26,4,CONT_LR,15.4,2,D2,R2,DT04,Secondary,Not surveyed,672346,4,DRY TORT,NA,NA,NA
2650,2630,24.721871,-82.820374,26,4,CONT_HR,16,2,D2,R4,DT05,Secondary,Not surveyed,677616,4,DRY TORT,2,16,Fish
2651,2815,24.722239,-82.825769,26,4,CONT_MR,14.9,2,D2,RU,DT06,Secondary,Not surveyed,678243,4,DRY TORT,NA,NA,NA
2652,2677,24.724573,-82.820907,26,4,ISOL_MR,14.6,2,D2,RU,DT06,Secondary,Not surveyed,681427,4,DRY TORT,2,18,Fish
