psu_id,priority_level,mapgrid_nr,lat_degrees,lon_degrees,strat,prot,mpa_nr,psu_depth,subregion_nr,habitat_cd,depth_class,rugosity_class,strat_nr
2077,1,603992,24.6707235,-83.0745322,DT05,1,24,20.5,3,CONT_LR,D2,R3,6
2078,1,567999,24.655509,-83.0974943,DT05,1,24,21.1,3,CONT_HR,D2,R4,6
2079,1,672744,24.7166172,-82.9853552,DT05,1,24,17.7,3,CONT_LR,D2,R4,6
2080,1,599023,24.6676531,-83.06806,DT05,1,24,19,3,CONT_LR,D2,R4,6
2081,1,569604,24.6562006,-83.080219,DT05,1,24,17.7,3,ISOL_MR,D2,R4,6
2082,1,592022,24.6640088,-83.0704696,DT05,1,24,17.9,3,ISOL_HR,D2,R4,6
2083,1,550862,24.6513136,-83.041614,DT05,1,24,18.7,3,CONT_LR,D2,R4,6
2084,1,621496,24.6820463,-83.0717555,DT05,1,24,18.5,3,CONT_MR,D2,R4,6
2085,1,557010,24.6523294,-83.0989228,DT05,1,24,21.1,3,CONT_HR,D2,R3,6
2086,1,564885,24.6547852,-83.0846407,DT05,1,24,16.6,3,ISOL_HR,D2,R4,6
2087,1,613942,24.6780205,-83.0025279,DT05,1,24,18.8,3,CONT_LR,D2,R4,6
2088,1,553964,24.6520142,-83.0564424,DT05,1,24,15.8,3,CONT_LR,D2,R4,6
2089,1,615966,24.6789092,-83.0371232,DT05,1,24,18.8,3,ISOL_HR,D2,R4,6
2090,1,663417,24.7101482,-82.9966179,DT05,1,24,15.9,3,CONT_MR,D2,R4,6
2091,1,575695,24.6578343,-83.092594,DT05,1,24,21.8,3,CONT_LR,D2,R4,6
2092,1,602627,24.6700858,-83.0552568,DT05,1,24,18,3,ISOL_LR,D2,R4,6
2093,1,614518,24.6776559,-83.062791,DT05,1,24,20,3,ISOL_HR,D2,R4,6
2094,1,672742,24.7166041,-82.9863433,DT05,1,24,17.5,3,CONT_LR,D2,R4,6
2095,1,650301,24.7009214,-83.0448926,DT05,1,24,21.2,3,CONT_MR,D2,R4,6
2096,1,563324,24.6543955,-83.0801891,DT05,1,24,17.7,3,ISOL_MR,D2,R4,6
2097,1,625049,24.6845944,-83.0505544,DT05,1,24,21.7,3,ISOL_HR,D2,R4,6
2098,1,609578,24.6742106,-83.0834816,DT05,1,24,20.9,3,CONT_HR,D2,R4,6
2099,1,593211,24.6653644,-83.0038077,DT05,1,24,21.2,3,CONT_LR,D2,R4,6
2100,1,664772,24.711123,-82.9911978,DT05,1,24,14.5,3,CONT_LR,D2,R4,6
2101,1,601883,24.6693764,-83.074016,DT05,1,24,20.6,3,CONT_LR,D2,R3,6
2102,1,653865,24.70383,-82.9965171,DT05,1,24,18.4,3,CONT_LR,D2,R4,6
2103,1,568004,24.6555435,-83.0950253,DT05,1,24,21.5,3,CONT_HR,D2,R3,6
