"DRM_ID","psu_id","lat_degrees.x","lat_degrees.y","lon_degrees.x","lon_degrees.y","mpa_nr.x","mpa_nr.y","subregion_nr.x","subregion_nr.y","habitat_cd.x","habitat_cd.y","psu_depth.x","psu_depth.y","prot.x","prot.y","depth_class.x","depth_class.y","rugosity_class.x","rugosity_class.y","strat.x","strat.y","Priority","Status","mapgrid_nr","zone_nr","lat_deg","lon_deg","psu_vrel","Shape_Leng","Shape_Area","region","priority_level","strat_nr","survey_type"
1613,2256,24.587816,24.5878161,-82.962585,-82.9625845,26,26,4,4,"ISOL_MR","ISOL_MR",16.8,16.8,2,2,"D2","D2","R2","R2","DT04","DT04","Primary","Not surveyed",334830,4,24.587816,-82.962585,0.1808,220.409101,3036.237288,"DRY TORT",1,14,"Fish"
1614,2157,24.593796,24.5937958,-82.883192,-82.8831924,26,26,4,4,"CONT_LR","CONT_LR",8.2,8.2,2,2,"D1","D1","R2","R2","DT01","DT01","Primary","Not surveyed",350485,4,24.593796,-82.883192,0.2371,220.428136,3036.761746,"DRY TORT",1,9,"Fish"
1615,NA,24.594593,NA,-82.89111,NA,26,NA,4,NA,"CONT_LR",NA,6,NA,2,NA,"D1",NA,"R3",NA,"DT02",NA,"Primary","Not surveyed",353337,4,24.5946,-82.891104,0.302,220.42881,3036.780312,"DRY TORT",NA,NA,NA
1616,2159,24.595291,24.5952914,-82.871859,-82.8718594,26,26,4,4,"ISOL_LR","ISOL_LR",6.8,6.8,2,2,"D1","D1","R2","R2","DT01","DT01","Primary","Not surveyed",354818,4,24.595291,-82.871859,0.2443,220.431992,3036.86797,"DRY TORT",1,9,"Fish"
1617,2161,24.595874,24.5957479,-82.907293,-82.9074135,26,26,4,4,"ISOL_MR","ISOL_MR",11.5,11.5,2,2,"D1","D1","R2","R2","DT01","DT01","Primary","Not surveyed",357632,4,24.595748,-82.907414,0.2532,220.428975,3036.784855,"DRY TORT",1,9,"Fish"
1618,NA,24.597376,NA,-82.885715,NA,26,NA,4,NA,"CONT_LR",NA,5,NA,2,NA,"D1",NA,"R3",NA,"DT02",NA,"Primary","Not surveyed",362036,4,24.597376,-82.885715,0.2604,220.434097,3036.925989,"DRY TORT",NA,NA,NA
1619,NA,24.601014,NA,-82.95146,NA,26,NA,4,NA,"ISOL_LR",NA,14.6,NA,2,NA,"D2",NA,"R2",NA,"DT04",NA,"Primary","Not surveyed",376615,4,24.601052,-82.951435,0.2136,220.433471,3036.908746,"DRY TORT",NA,NA,NA
1620,2295,24.604784,24.6047837,-82.942112,-82.9421123,26,26,4,4,"ISOL_MR","ISOL_MR",15.2,15.2,2,2,"D2","D2","R3","R3","DT05","DT05","Primary","Not surveyed",388578,4,24.604784,-82.942112,0.3184,220.440971,3037.115406,"DRY TORT",1,16,"Fish"
1621,2252,24.606252,24.6062521,-82.933248,-82.9332476,26,26,4,4,"ISOL_MR","ISOL_MR",15.9,15.9,2,2,"D2","D2","R2","R2","DT04","DT04","Primary","Not surveyed",393090,4,24.606252,-82.933248,0.1781,220.444469,3037.211792,"DRY TORT",1,14,"Fish"
1622,2270,24.60728,24.6072804,-82.958444,-82.9584445,26,26,4,4,"ISOL_HR","ISOL_HR",16.7,16.7,2,2,"D2","D2","R4","R4","DT05","DT05","Primary","Not surveyed",397533,4,24.60728,-82.958444,2.425,220.443644,3037.189043,"DRY TORT",1,16,"Fish"
