DRM_ID,Priority,Latitude,Longitude,Status,grid_id_50,mpa_nr,subreg_nr,zone_nr,habclass,lat_deg,lon_deg,psu_depth,psu_vrel,Shape_Leng,Shape_Area,region,prot,depth_clas,rugosity_c,strat
1621,Primary,24.606252,-82.933248,Not surveyed,393090,26,4,4,ISOL_MR,24.606252,-82.933248,15.9,0.1781,220.444469,3037.211792,DRY TORT,2,D2,R2,DT04
1622,Primary,24.60728,-82.958444,Not surveyed,397533,26,4,4,ISOL_HR,24.60728,-82.958444,16.7,2.425,220.443644,3037.189043,DRY TORT,2,D2,R4,DT05
1623,Primary,24.608955,-82.894176,Not surveyed,400659,26,4,4,ISOL_MR,24.609005,-82.894283,6.4,0.4557,220.453507,3037.460849,DRY TORT,2,D1,R4,DT02
1624,Primary,24.618285,-82.945284,Not surveyed,433756,26,4,4,ISOL_MR,24.618285,-82.945284,3.8,0.3343,220.464265,3037.757302,DRY TORT,2,D1,R3,DT02
1625,Primary,24.619022,-82.923074,Not surveyed,435315,26,4,4,ISOL_HR,24.619022,-82.923074,5.9,0.3856,220.467865,3037.856526,DRY TORT,2,D1,R3,DT02
1626,Primary,24.623348,-82.935993,Not surveyed,450501,26,4,4,CONT_LR,24.623371,-82.93598,3.4,0.2269,220.474063,3038.027338,DRY TORT,2,D1,R2,DT01
1627,Primary,24.624546,-82.949825,Not surveyed,455051,26,4,4,SPGR_LR,24.624546,-82.949825,7.9,0.3678,220.474478,3038.038771,DRY TORT,2,D1,R3,DT02
1628,Primary,24.624751,-82.936507,Not surveyed,455078,26,4,4,CONT_LR,24.624718,-82.936494,3.1,0.2351,220.476477,3038.093862,DRY TORT,2,D1,R2,DT01
1629,Primary,24.634985,-82.874433,Not surveyed,487442,26,4,4,CONT_LR,24.634984,-82.874426,4.1,0.2717,220.500916,3038.767424,DRY TORT,2,D1,R3,DT02
1630,Primary,24.635052,-82.868994,Not surveyed,487453,26,4,4,CONT_LR,24.635052,-82.868994,3.4,0.2174,220.501497,3038.783442,DRY TORT,2,D1,R2,DT01
1631,Primary,24.63547,-82.943572,Not surveyed,491932,26,4,4,CONT_LR,24.635461,-82.943574,17.6,0.2072,220.49436,3038.586741,DRY TORT,2,D2,R2,DT04
1632,Primary,24.636097,-82.82061,Not surveyed,489093,26,4,4,SPGR_LR,24.636097,-82.82061,7.9,-9,220.508359,3038.972574,DRY TORT,2,D1,RU,DT03
1633,Primary,24.637502,-82.923829,Not surveyed,498160,26,4,4,ISOL_LR,24.63752,-82.923851,5.3,0.3163,220.500016,3038.742643,DRY TORT,2,D1,R3,DT02
1634,Primary,24.639212,-82.861154,Not surveyed,501387,26,4,4,ISOL_MR,24.639212,-82.861154,9.8,-9,220.509635,3039.007751,DRY TORT,2,D1,RU,DT03
